stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
2547,8,91,64,5,208,34,155,89,82,public_transport,
2548,8,102,64,5,248,43,159,92,91,public_transport,
2549,8,95,70,5,215,39,164,95,86,public_transport,
255,21,122,78,24,117,30,561,52,172,public_transport,
2550,8,97,61,5,234,39,152,90,89,public_transport,
2551,6,79,59,5,137,25,147,69,71,public_transport,
2552,8,92,60,4,217,33,153,93,74,public_transport,
2553,7,93,73,6,164,27,184,84,94,public_transport,
2554,17,93,98,5,152,26,211,85,103,public_transport,
2555,6,91,66,5,159,26,173,77,86,public_transport,
2556,2,39,23,2,90,11,64,34,27,public_transport,
2557,16,69,77,4,113,18,160,67,69,public_transport,
2558,2,34,24,2,86,8,71,34,26,public_transport,
2559,90,94,152,6,45,49,1518,53,234,public_transport,
256,1,39,22,2,92,15,33,42,16,public_transport,
2560,3,32,29,2,94,11,43,42,22,public_transport,
2561,7,72,37,3,120,29,78,59,44,public_transport,
2562,10,76,50,4,118,30,106,58,73,public_transport,
2563,7,58,25,1,76,22,46,53,34,public_transport,
2564,9,69,44,4,109,26,78,54,64,public_transport,
2565,5,60,26,1,74,23,45,52,31,public_transport,
2566,7,72,34,3,90,28,66,58,38,public_transport,
2568,6,58,24,1,77,22,45,53,32,public_transport,
2569,3,42,15,0,75,18,25,52,18,public_transport,
257,1,27,18,2,93,12,27,34,17,public_transport,
2570,5,55,24,1,77,21,46,55,32,public_transport,
2571,0,9,8,3,47,4,43,13,11,public_transport,
2572,4,45,19,1,64,20,33,50,27,public_transport,
2573,1,12,8,4,42,6,51,14,12,public_transport,
2574,3,36,12,0,57,17,26,40,17,public_transport,
2575,3,31,17,0,49,9,16,33,11,public_transport,
2576,6,36,20,0,56,10,19,39,15,public_transport,
2577,3,40,22,0,66,14,25,39,18,public_transport,
2578,4,39,21,0,61,12,21,37,18,public_transport,
2579,3,27,9,0,44,11,10,27,8,public_transport,
258,1,43,26,2,94,17,39,45,21,public_transport,
2580,3,31,11,0,51,11,14,30,8,public_transport,
2581,4,46,25,0,83,17,35,44,22,public_transport,
2582,4,39,23,0,77,15,28,46,17,public_transport,
2583,4,44,24,0,82,16,27,47,20,public_transport,
2584,3,40,23,0,67,15,37,40,23,public_transport,
2585,3,42,23,0,70,14,34,41,21,public_transport,
2586,2,39,21,0,60,15,38,34,21,public_transport,
2587,3,35,22,0,57,13,26,37,15,public_transport,
2588,44,70,119,5,92,42,768,46,120,public_transport,
2589,53,109,165,6,153,52,724,82,188,public_transport,
259,1,33,21,2,97,15,33,35,20,public_transport,
2590,33,53,98,5,67,32,562,43,111,public_transport,
2591,60,116,155,7,191,41,660,89,186,public_transport,
2592,63,111,151,7,169,42,688,75,175,public_transport,
2593,9,53,33,1,99,15,126,43,51,public_transport,
2595,25,142,92,31,70,44,662,86,235,public_transport,
2596,12,90,63,2,200,34,125,82,87,public_transport,
2597,23,140,93,29,80,39,542,85,190,public_transport,
2598,42,137,92,31,54,40,752,97,259,public_transport,
2599,19,131,91,25,57,39,546,77,205,public_transport,
260,2,49,30,2,92,18,40,44,30,public_transport,
2600,51,134,94,32,54,43,852,86,267,public_transport,
2601,55,176,125,38,86,52,995,107,332,public_transport,
2602,54,159,113,33,80,48,929,99,296,public_transport,
2603,42,118,133,14,199,31,439,84,172,public_transport,
2604,2,42,39,2,149,15,73,53,82,public_transport,
2605,1,42,35,0,138,18,66,45,67,public_transport,
2606,4,58,51,2,160,22,91,65,96,public_transport,
2607,10,69,60,2,195,23,134,68,105,public_transport,
2608,15,49,53,2,128,13,158,58,96,public_transport,
261,1,33,20,2,97,12,35,37,15,public_transport,
2610,2,47,36,0,158,18,66,54,71,public_transport,
2611,12,77,75,3,192,24,161,70,132,public_transport,
2612,21,65,66,5,113,15,187,57,95,public_transport,
2613,21,62,63,4,120,14,181,52,93,public_transport,
2614,9,33,34,3,77,5,93,39,52,public_transport,
2615,3,26,32,4,76,6,55,31,52,public_transport,
2616,2,20,20,4,83,3,39,20,15,public_transport,
2617,3,24,20,4,94,4,47,21,16,public_transport,
2618,3,22,18,4,85,4,44,21,14,public_transport,
2619,4,38,49,5,117,11,89,47,75,public_transport,
262,2,60,40,3,100,19,66,45,55,public_transport,
