stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
1587,3.329,0.472,38,0.661,7.288,5.164,1,25,24,3,76,9,25,21,34,0,22,20,3,64,8,21,17,23,3.033,0.29600000000000026,3237,Nueva Zelanda - Ruperto Andrés,40.46739,-3.72422,741,9.470897962399666e-07,0.001942690626517727,0.06505323686455404,0.002440730379938684
1588,3.531,0.4171,41,0.663,7.289,5.17,1,24,29,3,75,12,37,25,38,0,22,20,3,65,8,21,17,23,3.035,0.496,3238,Nueva Zelanda - Ruperto Andrés,40.46736,-3.72432,741,9.470897962399666e-07,0.001942690626517727,0.06505323686455404,0.002440730379938684
1589,3.379,0.2721,36,0.726,7.565,5.405,0,23,23,3,74,9,24,21,39,0,21,20,3,56,6,17,19,23,2.875,0.504,3239,López Ibor - Isla Cristina,40.46956,-3.72586,534,4.834336501510493e-06,0.0009713453132588635,0.06836897330322753,0.0027253394706807242
1590,3.258,0.4647,40,0.562,7.574,5.424,1,22,26,3,70,12,35,23,36,0,21,20,3,57,6,18,20,23,2.937,0.3210000000000002,3240,López Ibor - Isla Cristina,40.46957,-3.72611,534,4.834336501510493e-06,0.0009713453132588635,0.06836897330322753,0.0027253394706807242
1591,3.61,0.2492,49,0.69,7.928,5.736,0,30,29,3,83,11,28,23,53,0,23,23,3,71,7,24,21,29,3.262,0.34799999999999986,3241,Doctor Castroviejo - López Ibor,40.47234,-3.72821,1437,2.7448637288799022e-05,0.0029140359397765905,0.07319327432369983,0.008243857181445971
1592,4.031,0.27,54,0.773,7.849,5.674,1,34,33,3,91,13,37,26,65,0,19,21,3,68,7,19,22,25,3.132,0.8989999999999996,3242,Doctor Castroviejo - López Ibor,40.47167,-3.7279,1437,2.7448637288799022e-05,0.0029140359397765905,0.07319327432369983,0.008243857181445971
1593,3.848,0.3537,48,0.897,8.201,5.946,3,37,22,4,133,10,33,34,45,0,23,15,3,85,8,16,23,24,3.369,0.47899999999999965,3243,Islas Aleutianas - Joaquín Lorenzo,40.47474,-3.7291,2011,7.702236371578188e-05,0.0014570179698882952,0.07788326965994628,0.00810940079492188
1594,5.028,0.5666,58,1.927,8.454,6.097,3,46,32,7,149,12,65,42,89,0,23,13,3,99,6,18,20,22,3.108,1.9199999999999995,3244,Islas Aleutianas - Herrera Oria,40.47728,-3.72893,2012,0.000363069291181375,0.0009713453132588635,0.08379115289138485,0.008992439154928707
1595,4.84,0.4482,71,0.97,8.732,5.693,4,40,21,7,152,12,84,41,66,3,32,16,5,108,6,43,28,59,3.245,1.5949999999999998,3245,Herrera Oria - Ventisquero De La Condesa,40.48357,-3.71478,2029,0.008220928001821965,0.0029140359397765905,0.09714555319650861,0.005919493646753284
1596,5.609,0.5392,79,1.55,8.713,5.684,5,51,31,8,174,14,107,53,93,3,33,17,5,109,6,46,28,59,3.301,2.308,3246,Herrera Oria - Ventisquero De La Condesa,40.48336,-3.71494,2029,0.008220928001821965,0.0029140359397765905,0.09714555319650861,0.005919493646753284
1597,4.438,0.3542,63,1.503,9.12,6.079,3,36,14,6,140,9,47,38,48,2,26,9,3,86,3,28,24,21,2.938,1.4999999999999996,3247,Ventisquero De La Condesa - Cerro Minguete,40.48676,-3.7169,693,0.001522207075820874,0.0014570179698882952,0.08872323005989573,0.0024863626206260126
1598,3.727,0.3044,43,0.799,8.379,6.062,0,30,24,3,119,10,24,34,30,0,25,16,3,96,6,20,23,28,3.261,0.46599999999999975,3248,Islas Aleutianas - Herrera Oria,40.47646,-3.7292,2012,0.000363069291181375,0.0009713453132588635,0.08379115289138485,0.008992439154928707
1599,5.099,0.3312,62,1.538,5.419,2.993,12,110,141,10,93,39,485,52,253,9,76,117,7,71,30,314,41,207,3.492,1.6070000000000002,3249,Estrecho,40.45487,-3.70374,1817,0.00015816790512859373,0.001942690626517727,0.09128796275770339,0.01032539840566398
1600,5.563,0.1529,66,1.568,4.793,2.822,21,126,150,21,86,40,558,68,308,10,74,94,8,71,31,316,32,175,3.647,1.916,3250,Alvarado,40.44904,-3.70388,1814,0.0008350336851610593,0.0009713453132588635,0.10476238933550422,0.006170853957773031
1602,5.421,0.2344,102,1.806,8.146,4.279,8,58,53,7,101,20,209,43,108,3,17,22,4,51,8,79,17,18,2.728,2.693,3251,Hospital La Paz,40.48065,-3.68899,2093,0.2952805247388481,0.0048567265662943174,0.1290909090909091,0.08747604027752129
1604,3.798,0.5753,61,1.213,8.185,4.387,9,46,47,7,87,18,184,25,97,3,20,22,5,53,7,85,13,29,2.553,1.245,3252,Arzobispo Morcillo - Facultad Medicina,40.48099,-3.69131,2092,0.0539307971775368,0.0014570179698882952,0.11439524418023224,0.002332346772744278
1605,4.954,0.4517,104,1.63,8.175,4.38,6,53,53,7,89,17,243,36,99,3,20,22,5,53,7,86,13,31,2.583,2.3709999999999996,3253,Arzobispo Morcillo - Facultad Medicina,40.4809,-3.69137,2092,0.0539307971775368,0.0014570179698882952,0.11439524418023224,0.002332346772744278
