stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,Unnamed: 29,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
par_8_06323,1.648,0.9257,9,0.305,15.942,13.541,1,2,0,0,13,3,16,4,4,43,1,0,0,0,6,1,3,1,0,12,2.143,-0.4949999999999999,1584,CTRA.EL PARDO COLMENAR VIEJO-MINGORRUBIO,40.5323901936957,-3.78216656370239,12,5.137780895793239e-12,0.0009713453132588,0.044003248418533,0.0009713453132588,4787,28.143878,27.743951,41194.0,36403.0
par_8_06324,1.648,0.9257,9,0.305,16.452,14.034,1,2,0,0,13,3,16,4,4,43,0,0,0,0,6,1,3,1,0,11,1.558,0.0899999999999998,1585,CTRA.EL PARDO COLMENAR VIEJO-CEMENTERIO,40.5363971586956,-3.78510605706442,14,8.748719924527064e-13,0.0004856726566294,0.0421494370522006,0.0,4788,28.155825,27.738175,41197.0,36407.0
par_8_06329,2.145,0.9498,11,0.713,14.323,12.058,1,2,0,0,14,3,18,4,4,46,1,2,0,0,8,3,14,3,4,35,2.611,-0.4660000000000002,1590,AV.GUARDIA-LAS MONJAS,40.5184533190057,-3.77553564477794,9,5.4190051953378045e-09,0.0009713453132588,0.053369621565578,0.0048472868645133,4793,27.460219,28.036654,33835.0,37404.0
par_8_06334,2.36,0.578,14,1.033,9.564,7.833,1,1,1,0,22,5,10,5,6,51,0,0,0,0,2,0,2,0,0,4,1.696,0.6639999999999999,1595,CTRA.M605-EL TEJAR DE SOMONTES,40.4793061486343,-3.75159567305183,168,1.627210524519077e-05,0.0014570179698882,0.0725945774424426,0.0048331273118419,4798,43.789103,37.46987,88141.0,83263.0
par_8_06262,0.606,,3,0.017,12.502,12.42,0,1,1,0,3,1,7,3,1,17,0,2,2,0,2,0,14,0,1,21,1.462,-0.856,1643,AV.VICTORIA-OCHANDIANO,40.467068101508,-3.81468351811094,77,1.0957363042821883e-06,0.0009713453132588,0.0758966419698477,5.302868258221772e-05,4774,44.399169,44.104432,89729.0,86614.0
par_8_06227,1.514,0.8416,10,0.361,13.691,13.588,0,2,1,0,3,2,8,2,1,19,0,3,1,0,3,1,6,3,1,18,1.449,0.0649999999999999,1646,AV.VICTORIA-CIMARRA,40.4715803743333,-3.82752529301808,55,7.891063063957199e-08,0.0004856726566294,0.0696172572355964,0.0,4769,44.4,44.4,89731.0,89731.0
par_8_06275,4.589,0.6272,28,5.12,10.205,10.225,0,10,7,3,58,5,24,22,12,141,0,8,8,1,38,2,7,19,10,93,3.09,1.4990000000000006,1652,AV.OSA MAYOR-ARÁNDIGA,40.4574067767812,-3.79058984546751,128,8.824893137776325e-07,0.0009713453132588,0.0750391778126025,0.0,4777,37.9128,38.970008,65983.0,63512.0
par_8_06015,9.619,0.8418,56,10.847,9.734,9.304,33,73,93,16,93,20,512,79,163,1082,1,7,3,2,31,4,13,18,8,87,2.968,6.651,1669,CTRA.A6-BERMEO,40.4631576461471,-3.77816647888315,101,3.762604368964013e-06,0.0043710539096648,0.0772115348558143,0.0075317728403822,4765,40.135197,36.307855,62880.0,57312.0
par_8_06507,2.771,0.3366,17,0.727,8.668,9.003,0,9,5,3,47,5,15,17,12,113,0,7,12,3,45,1,17,11,15,111,2.832,-0.0609999999999999,1671,CTRA.HUMERA A ARAVACA-AV.TALGO,40.4475603640328,-3.77726722472274,115,5.377624865034245e-09,0.0009713453132588,0.0609514223972055,0.0,4800,32.957743,36.622393,71526.0,58365.0
par_8_09501,3.49,0.1434,21,0.994,8.788,9.013,0,9,7,3,50,5,16,21,14,125,0,8,9,3,53,2,13,9,14,111,3.115,0.375,1675,CTRA.HUMERA A ARAVACA-VALLE DE PAS,40.449641567343,-3.7772440332293,116,5.377624865034245e-09,0.0009713453132588,0.0609514223972055,0.0,4894,34.291399,36.917571,66197.0,67225.0
par_8_09502,3.512,0.1383,23,1.039,8.952,9.137,0,9,7,3,50,5,16,21,14,125,0,7,8,3,55,2,8,11,16,110,3.112,0.3999999999999999,1676,CTRA.HUMERA A ARAVACA-RIO NELA,40.450749453133,-3.77861296139383,112,2.565377331947841e-08,0.0019426906265177,0.0649035430588828,0.0019497704028534,4895,34.788789,37.009011,64573.0,61123.0
par_8_11670,4.745,0.3516,32,1.865,10.004,9.449,0,9,4,2,48,4,14,21,10,112,1,6,3,2,21,3,12,18,6,72,2.66,2.085,1678,LA SALLE-EL AÚRIGA,40.4662334240297,-3.77894509033911,132,8.676249954244154e-07,0.0009713453132588,0.0717446600926861,0.0002852347116283,4921,40.484138,39.673556,66275.0,69898.0
par_8_50001,4.745,0.5565,31,3.91,9.226,9.258,0,9,7,3,62,5,21,23,15,145,1,8,8,4,51,3,9,23,16,123,3.3,1.4450000000000005,1684,CTRA.HÚMERA-VIRGEN DE LOS ROSALES,40.4540397612952,-3.77964157903916,114,8.99855633999079e-08,0.0009713453132588,0.0692333557498318,0.002726105871874,5179,36.368916,37.437592,67308.0,69153.0
par_8_06012,2.229,0.7787,10,3.111,8.264,7.499,2,15,20,4,19,4,76,18,25,183,0,0,1,0,6,0,2,0,0,9,1.188,1.041,1685,CTRA.HIPÓDROMO-CLUB PUERTA DE HIERRO,40.4611999473221,-3.75687829999353,2157,9.379117845888348e-07,0.0009713453132588,0.0717396606390021,2.299282512582015e-05,4764,44.253536,32.825228,89731.0,54222.0
par_8_11291,2.613,0.5109,20,1.423,9.533,9.746,1,7,7,3,50,2,9,13,14,106,0,12,13,4,60,2,17,23,21,152,3.4,-0.7869999999999999,1689,ARROYO POZUELO-GTA.SIERRA PARAMERA,40.4519808156459,-3.78569114458299,103,1.614221270179136e-09,0.0004856726566294,0.0578907414176062,0.0,4909,35.528877,33.47063,66077.0,76199.0
par_8_06563,4.302,0.7896,22,5.946,11.756,7.688,6,22,18,9,62,7,116,24,49,313,0,2,1,0,16,2,10,2,1,34,0.94,3.362,1703,CTRA.COLMENAR VIEJO-ACADEMIA ARTILLERÍA,40.513126373291,-3.68450903892517,531,0.178630206527964,0.0024283632831471,0.1171950594797655,0.0005754666096024,4802,32.10565,29.600867,77383.0,58098.0
par_8_06565,2.393,0.424,15,1.315,13.02,8.991,2,3,0,4,14,0,12,8,2,45,0,0,0,1,7,0,2,9,0,19,1.547,0.8459999999999999,1704,CTRA.M607-RESIDENCIA ANCIANOS,40.524585723877,-3.68812012672424,30,0.1334038159374361,0.0019426906265177,0.117188389299943,0.0028592344873033,4803,37.2,29.390418,41636.0,43355.0
par_8_06566,1.4,0.8456,10,0.699,13.428,9.435,1,1,0,2,10,0,3,3,0,20,0,0,0,2,7,0,2,10,0,21,1.787,-0.387,1705,CTRA.M607-CIUDAD ESCOLAR,40.5282707214355,-3.69101500511169,28,0.0240552061110131,0.0009713453132588,0.1049225438238891,0.0004841662375535,4804,37.193935,30.257888,41637.0,43162.0
par_8_06567,1.332,0.8294,9,0.682,13.826,9.855,1,1,0,2,10,0,3,3,0,20,1,0,0,2,5,0,2,6,0,16,1.578,-0.246,1706,CTRA.M607-HOSPITAL PSIQUIÁTRICO,40.5318336486816,-3.69298791885376,44,0.0078851363011431,0.0009713453132588,0.0950336933444106,1.3372910856333558e-06,4805,35.343091,30.043925,42045.0,43209.0
par_8_06568,1.265,0.8161,8,0.682,14.548,10.593,1,1,0,2,9,0,3,3,0,19,2,2,0,4,11,0,14,2,2,37,1.914,-0.649,1707,CTRA.M607-HOSPITAL CANTOBLANCO,40.5383071899414,-3.69505023956299,36,0.0222584875455103,0.0009713453132588,0.1049813898944577,0.0004875723966128,4806,30.492116,29.81683,43114.0,43259.0
