Unnamed: 0,stop_id,stop_name,stop_lat,stop_lon,clust,geometry
1359,1196,AV.REAL DE PINTO-INEM,40.34626559494153,-3.7085208929596285,395,POINT (-3.70620665509774 40.3459808011769)
1361,par_8_07656,AV.REAL DE PINTO-COL.BUTANO,40.343100696171845,-3.707224502861695,385,POINT (-3.70717731584513 40.3430919756555)
1363,1191,ALCOCER-LITOS,40.34963061030373,-3.7004802500879976,400,POINT (-3.70105295575209 40.3497328891059)
1367,1787,ALCOCER-VIRGEN DESAMPARADOS,40.349969298137324,-3.6977963225005825,399,POINT (-3.6977577927072 40.3499149785253)
1375,par_8_07640,CTRA.A42-POL.IND.PRADO OVERA,40.35125479204335,-3.72238219270685,394,POINT (-3.72211132855994 40.3512519793433)
1380,2430,INTERCAMBIADOR DE PLAZA ELÍPTICA,40.3851644441417,-3.717521795225504,1167,POINT (-3.71797834319583 40.3845659891741)
1383,5349,PRINCESA J.AUSTRIA-AV.POBLADOS,40.3731863174238,-3.72011605258439,634,POINT (-3.72007210516878 40.3731926348476)
1384,3139,AV.PRINCESA JUANA AUSTRIA-AV.POBLADOS,40.37422831283112,-3.7190223225912,632,POINT (-3.7193792903648 40.3745032513245)
1386,par_8_07638,CTRA.A42-ESTACIÓN MECÁNICA AGRÍCOLA,40.3596964746237,-3.72162435684089,2152,POINT (-3.72162435684089 40.3596964746237)
1388,2261,AV.ANDALUCÍA-ESC.LOGÍSTICA EJÉRCITO,40.33604262718102,-3.6933537271978873,362,POINT (-3.69255490879155 40.3362705087241)
1390,1181,AV.ANDALUCIA-ROCAFORT,40.341659079840554,-3.6925298743981485,275,POINT (-3.69293982650857 40.3416736386598)
1392,par_8_07658,AV.REAL DE PINTO-PUNTO LIMPIO RECICLAJE,40.33849681897679,-3.70947219719686,371,POINT (-3.70964873642406 40.3384912315727)
1394,3499,AV.REAL DE PINTO-LAGUNA DEL MARQUESADO,40.33343111012704,-3.7131558552646142,369,POINT (-3.71283087877642 40.3332193835216)
1398,par_8_18443,LAGUNA DALGA-LAGUNA DE CAMEROS,40.3318502479761,-3.70986169306213,366,POINT (-3.70970828894965 40.331815153168)
1400,par_8_18445,LAGUNA DALGA-RESIDENCIA,40.3319787430949,-3.70283512424979,378,POINT (-3.70299959549223 40.3319462119847)
1402,par_8_18447,LAGUNA DEL MARQUESADO-SAN EUSTAQUIO,40.33378530394815,-3.7020533470959798,381,POINT (-3.70204124869319 40.333753845657)
1404,3505,MONTEJO-VALLE DE TOBALINA,40.3355675699716,-3.71466642997811,365,POINT (-3.71465928993433 40.3358027099148)
1405,3486,LAGUNA DEL MARQUESADO-SAN ERASMO,40.3337116828297,-3.7070889141394674,367,POINT (-3.70700811720784 40.3336515200868)
1407,3490,LAGUNA DEL MARQUESADO-LAGUNA DE CAMEROS,40.333640716919504,-3.7108556043652703,368,POINT (-3.71084480300896 40.3335469233687)
1417,2877,VÍA LUSITANA-CEMENTERIO SUR,40.36801667953491,-3.7412735116386413,1291,POINT (-3.74051809310913 40.3680534362793)
1420,3994,VÍA LUSITANA-CONSEJERÍA DE EMPLEO Y MUJER,40.37533748565674,-3.7319006779670723,1313,POINT (-3.73207020759583 40.3754234313965)
1422,par_8_07547,AV.CARABANCHEL ALTO-AV DEL EURO,40.36409950256345,-3.7536481618881252,834,POINT (-3.75346684455872 40.3642120361328)
1423,4528,GUABAIRO-CARABANCHEL,40.3876338143921,-3.7446827807998675,1273,POINT (-3.74528789520264 40.3872566223145)
1425,1158,AV.CARABANCHEL ALTO-CHIRIMOYA,40.36990172790527,-3.7532936101531975,1286,POINT (-3.75313115119934 40.3700256347656)
1426,par_8_07571,AV.CARABANCHEL ALTO-ALLARIZ,40.36754226684575,-3.75341558456421,1285,POINT (-3.75347065925598 40.3677253723145)
1428,1151,GUABAIRO-CENTRO COMERCIAL,40.385266387634275,-3.7460509997940052,1264,POINT (-3.74609303474426 40.3854866027832)
1431,1152,NTRA.SRA.FATIMA-MONS.OSCAR ROMERO,40.38255513336183,-3.747779558677672,1280,POINT (-3.74787473678589 40.3825378417969)
