stop_id,stop_name,stop_lat,stop_lon,clust,geometry
F02523,Radnóti Miklós utca,47.515091,19.053659500000002,324,POINT (19.053195 47.515644)
F02525,Népfürdő utca / Árpád híd,47.5361545,19.059376,266,POINT (19.059466 47.536348)
F02532,Kámfor utca,47.552357,19.083827499999998,207,POINT (19.084485 47.552433)
F02538,Gyöngyösi utca,47.548029,19.080930000000002,208,POINT (19.080524 47.547613)
F02540,Cziffra György park,47.5485265,19.078545,209,POINT (19.077788 47.548729)
F02542,Gyöngyösi utca,47.546347000000004,19.0892835,213,POINT (19.089251 47.547062)
F02547,Reitter Ferenc utca,47.545479,19.095182,203,POINT (19.095294 47.545459)
F02549,Futár utca,47.538104000000004,19.0897885,220,POINT (19.089988 47.53823)
F02551,Fiastyúk utca,47.54026475,19.085276,218,POINT (19.084758 47.54024)
F02557,Násznagy utca,47.543105999999995,19.08207,221,POINT (19.082116 47.542877)
F02559,József Attila tér,47.547252,19.0838995,212,POINT (19.08378 47.547445)
F02561,Fiastyúk utca,47.543621,19.078675,222,POINT (19.078675 47.543621)
F02562,Fiastyúk utca,47.544978,19.079712,223,POINT (19.079712 47.544978)
F02563,Fiastyúk utca,47.545992,19.0722335,216,POINT (19.072008 47.545889)
F02566,Cserhalom utca,47.541932,19.066613,247,POINT (19.066613 47.541932)
F02567,Népfürdő utca / Árpád híd,47.536882500000004,19.060688,265,POINT (19.060542 47.536878)
F02569,Sporttelep,47.533623000000006,19.059233,264,POINT (19.059107 47.533641)
F02572,Lomb utca,47.53524,19.069958,244,POINT (19.069958 47.53524)
F02573,Vág utca,47.5239225,19.055898,261,POINT (19.055785 47.523891)
F02575,Pap Károly utca,47.533863,19.074592,254,POINT (19.073742 47.533557)
F02583,Hajdú utca,47.531039,19.07556,255,POINT (19.07556 47.531039)
F02584,Béke utca,47.532665,19.0807,238,POINT (19.0807 47.532665)
F02585,Béke tér,47.5294698,19.080646,234,POINT (19.080195 47.529376)
F02588,Béke tér,47.530761,19.08082,235,POINT (19.08082 47.530761)
F02591,Lehel utca / Róbert Károly körút,47.5260964,19.0779938,231,POINT (19.078506 47.526244)
F02595,Lehel utca / Róbert Károly körút,47.524888,19.078639,232,POINT (19.078639 47.524888)
F02620,Lehel utca / Dózsa György út,47.5209154,19.069267200000002,296,POINT (19.068598 47.521309)
F02627,Vágány utca / Róbert Károly körút,47.5221195,19.0817695,228,POINT (19.081531 47.522187)
F02629,Vágány utca / Róbert Károly körút,47.523210000000006,19.081058,229,POINT (19.080709 47.522783)
F02630,Vágány utca / Róbert Károly körút,47.524516,19.08197,227,POINT (19.08197 47.524516)
F02635,Petneházy utca,47.5312835,19.0858125,239,POINT (19.08568 47.531279)
F02639,Kassák Lajos utca,47.522383500000004,19.066646,295,POINT (19.06654 47.522532)
F02642,Honvédkórház,47.530244999999994,19.070434,252,POINT (19.070169 47.530449)
F02645,Szegedi út,47.52799425,19.08381825,233,POINT (19.084137 47.528653)
F02649,Radnóti Miklós utca,47.5156755,19.0504135,325,POINT (19.051044 47.515491)
F02653,Angyalföld vasútállomás,47.549072,19.090089499999998,210,POINT (19.089824 47.549176)
F02655,Rokolya utca,47.5417325,19.091903000000002,219,POINT (19.092049 47.541746)
F02657,Kucsma utca,47.544515,19.093532500000002,204,POINT (19.093632 47.54447)
F02659,Rokolya utca,47.54262,19.086996,217,POINT (19.087016 47.542539)
F02663,Rozsnyay utca,47.5398495,19.077159,224,POINT (19.077492 47.540215)
F02665,Frangepán utca,47.536732,19.0756695,225,POINT (19.075377 47.536336)
F02667,Hun utca,47.52414100000001,19.075282666666666,230,POINT (19.075211 47.524185)
F02671,Fáy utca,47.534219,19.087514499999997,240,POINT (19.087515 47.534435)
F02673,Frangepán utca,47.534243000000004,19.082410666666664,236,POINT (19.082521 47.534365)
F02676,Frangepán utca,47.535132,19.083134,237,POINT (19.083134 47.535132)
F02687,Árvavár utca,47.5353485,19.11587,768,POINT (19.115591 47.535232)
F02692,Állatkert,47.5177405,19.0777705,429,POINT (19.077678 47.517763)
F02694,Széchenyi fürdő M,47.519138,19.0818075,431,POINT (19.082445 47.519237)
F02698,Kós Károly sétány,47.518741,19.085166,422,POINT (19.085166 47.518741)
F02699,Bethesda utca,47.517157,19.0876345,419,POINT (19.087661 47.517265)
F02701,Közlekedési Múzeum,47.515587,19.090321749999998,423,POINT (19.089943 47.515511)
F02705,Olof Palme sétány,47.512243,19.0853075,402,POINT (19.085055 47.511987)
F02707,Dvořák sétány,47.51035,19.084277999999998,401,POINT (19.084059 47.510323)
F02711,Zichy Géza utca,47.5103845,19.090557500000003,400,POINT (19.090419 47.510421)
F02713,Vakok Intézete,47.513549,19.093168,392,POINT (19.093168 47.513549)
F02714,Vakok Intézete,47.512487,19.093937,391,POINT (19.09326 47.51255)
F02716,Cházár András utca,47.505841000000004,19.091456,387,POINT (19.091582 47.505814)
F02718,Stefánia út / Thököly út,47.508387750000004,19.09484925,388,POINT (19.094491 47.508835)
F02724,Zugló vasútállomás (Hermina út),47.5107275,19.097533,389,POINT (19.097241 47.510642)
F02725,Zugló vasútállomás,47.5112825,19.09913775,390,POINT (19.098662 47.511145)
F02733,Egressy út / Stefánia út,47.504742750000005,19.10042425,386,POINT (19.099664 47.504768)
F02737,Szobránc köz,47.503237,19.1037975,385,POINT (19.103698 47.503336)
F02740,Egressy út / Hungária körút,47.506966750000004,19.104930500000002,745,POINT (19.10568 47.50704)
F02745,Jeszenák János utca,47.511661,19.125328500000002,747,POINT (19.124682 47.511922)
F02746,Róna utca,47.5061805,19.123479,746,POINT (19.12332 47.506194)
F02748,Pongrátz Gergely tér,47.509291999999995,19.128893666666666,749,POINT (19.128993 47.509482)
F02765,Álmos vezér útja,47.5072205,19.140643500000003,733,POINT (19.140564 47.507333)
F02767,Füredi utca / Ond vezér útja,47.5063515,19.141683999999998,734,POINT (19.141213 47.506343)
F02769,Ond vezér park,47.506213,19.145812,737,POINT (19.146124 47.506339)
F02771,Ond vezér útja / Szentmihályi út,47.5074685,19.150268,735,POINT (19.150348 47.507477)
F02773,Vezér utca,47.50966,19.1431435,732,POINT (19.143197 47.509822)
F02777,Csertő utca,47.51314399999999,19.14639766666667,713,POINT (19.14623 47.513309)
F02780,Zsálya utca,47.515967999999994,19.143278666666664,712,POINT (19.142916 47.515938)
F02783,Fischer István utca,47.515137333333335,19.139546666666664,715,POINT (19.139861 47.515329)
F02786,Vezér utca / Fogarasi út,47.51346975,19.1369255,717,POINT (19.137323 47.513883)
F02790,Mogyoródi út,47.517459,19.130153,754,POINT (19.130359 47.517405)
F02792,Gvadányi utca,47.520944,19.135954,858,POINT (19.135954 47.520944)
F02793,Öv utca / Mogyoródi út,47.52452,19.141019,856,POINT (19.141019 47.52452)
F02794,Egressy tér,47.51432425,19.119916,753,POINT (19.12061 47.514317)
F02795,Egressy tér,47.515096,19.119462,752,POINT (19.119097 47.515317)
F02800,Turán utca,47.516965,19.123437000000003,756,POINT (19.123964 47.517303)
F02805,Kála utca,47.52272,19.130858,861,POINT (19.130858 47.52272)
F02806,Rákosmezei tér,47.524463499999996,19.1331115,860,POINT (19.132719 47.524158)
F02808,Öv utca / Egressy út,47.526763,19.136628,857,POINT (19.136628 47.526763)
F02809,Szugló utca / Cinkotai út,47.526789,19.127328,869,POINT (19.127133 47.526716)
F02811,Komócsy utca,47.521457,19.122857,758,POINT (19.123275 47.521304)
F02813,Szugló utca / Nagy Lajos király útja,47.51724783333333,19.115822833333333,750,POINT (19.116193 47.517486)
F02819,Szugló utca / Róna utca,47.514354499999996,19.1110975,740,POINT (19.111038 47.514206)
F02826,Bosnyák tér,47.520148500000005,19.112983166666666,782,POINT (19.113209 47.520474)
F02830,Bosnyák tér,47.51944674999999,19.11185375,783,POINT (19.111336 47.519476)
F02844,Rákospatak utca / Csömöri út,47.524486499999995,19.1185255,864,POINT (19.118207 47.524356)
F02846,Miskolci utca / Csömöri út,47.527214,19.122035,863,POINT (19.122035 47.527214)
F02847,Miskolci utca / Csömöri út,47.525992,19.12028,862,POINT (19.12028 47.525992)
F02848,Cinkotai út,47.528469,19.1236255,867,POINT (19.123842 47.528472)
F02850,Telepes utca,47.5304325,19.121386,866,POINT (19.12126 47.530392)
F02852,Fűrész utca,47.523285,19.113646000000003,781,POINT (19.113451 47.522938)
F02854,Telepes utca,47.520756,19.110611,784,POINT (19.110611 47.520756)
F02855,Szuglói körvasút sor,47.5345925,19.112910749999998,769,POINT (19.113227 47.535071)
F02861,Rákospatak utca,47.5289225,19.107337,762,POINT (19.107563 47.529228)
F02873,Korong utca,47.514630499999996,19.097217999999998,393,POINT (19.097364 47.514581)
F02876,"Erzsébet királyné útja, aluljáró",47.51740475,19.093576,427,POINT (19.094034 47.517407)
F02893,Kacsóh Pongrác út,47.5188705,19.0883395,421,POINT (19.088114 47.519064)
