stop_id,multimodal_gini
F00319,0.1626
F00320,0.1504
F00321,0.1428
F00322,0.1531
F00323,0.1782
F00324,0.1512
F00325,0.176
F00326,0.1629
F00327,0.1654
F00328,0.1782
F00329,0.1618
F00330,0.1838
F00331,0.1732
F00332,0.1781
F00345,0.1782
F00346,0.1879
F00347,0.1675
F00348,0.1778
F00372,0.1473
F00373,0.1332
F00408,0.1351
F00409,0.1314
F00410,0.1351
F00411,0.137
F00412,0.1527
F00414,0.1643
F00415,0.1591
F00416,0.1498
F00417,0.145
F00422,0.1541
F00423,0.1701
F00424,0.1597
F00425,0.1299
F00426,0.1433
F00427,0.1302
F00428,0.1441
F00429,0.1567
F00430,0.1438
F00431,0.1401
F00432,0.1568
F00435,0.1512
F00436,0.1471
F00437,0.1493
F00438,0.1527
F00439,0.1541
F00440,0.1637
F00441,0.1952
F00442,0.1494
F00443,0.1842
F00444,0.1699
F00445,0.1527
F00446,0.1522
F00447,0.1516
F00448,0.1515
F00449,0.1516
F00450,0.1501
F00451,0.1467
F00452,0.1516
F00453,0.1904
F00454,0.1467
F00455,0.1929
F00456,0.201
F00457,0.1982
F00458,0.2009
F00459,0.1882
F00460,0.1859
F00462,0.1715
F00463,0.1899
F00464,0.1878
F00465,0.1637
F00466,0.2007
F00467,0.202
F00468,0.1865
F00469,0.1984
F00473,0.1911
F00474,0.1981
F00475,0.1895
F00476,0.1943
F00477,0.1909
F00478,0.1805
F00482,0.1741
F00485,0.172
F00486,0.1484
F00489,0.1826
F00490,0.1706
F00491,0.1545
F00493,0.1954
F00494,0.1602
F00495,0.2059
F00496,0.1706
F00497,0.198
F00498,0.1706
F00499,0.1705
F00500,0.1817
F00501,0.1972
F00502,0.1475
F00504,0.1715
F00505,0.1687
F00506,0.1775
F00507,0.1162
F00508,0.1689
F00509,0.143
F00512,0.1665
F00513,0.195
F00514,0.2678
F00515,0.1975
F00516,0.2089
F00517,0.2347
F00518,0.1377
F00519,0.1464
F00520,0.1645
F00521,0.146
F00522,0.1407
F00523,0.1705
F00524,0.1438
F00529,0.1593
F00530,0.1446
F00531,0.152
F00532,0.1446
F00533,0.1464
F00534,0.1466
F00535,0.1519
F00536,0.1573
F00537,0.1665
F00538,0.1525
F00539,0.1665
F00540,0.1525
F00541,0.1745
F00542,0.1599
F00543,0.1665
F00544,0.1611
F00545,0.1611
F00546,0.1372
F00547,0.2347
F00548,0.2236
F00549,0.1628
F00550,0.1405
F00551,0.1372
F00552,0.1484
F00553,0.1506
F00554,0.1506
F00555,0.1512
F00556,0.1507
F00557,0.1527
F00558,0.1402
F00559,0.1541
F00560,0.1484
F00561,0.1507
F00562,0.1504
F00563,0.1507
F00564,0.1527
