stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008109,5.306,0.7123,33,2.915,11.045,12.695,2,7,17,3,24,5,24,13,12,107,0,4,9,2,17,2,2,5,3,44,3.291,2.015,Damjanich utca,47.402518,18.991053,1652,1.3713365430254301e-10,0.0009837678307919,0.0433854755756631,0.0016747857085742,0.1687,0.1806,0.398,0.378,0.143619,0.11626,0.210508,0.192434
008110,6.129,0.6885,38,3.493,11.334,12.965,2,8,19,3,27,5,24,14,12,114,3,4,10,2,20,3,5,6,3,56,3.256,2.873,Barosstelep vasútállomás,47.399613,18.990911,1651,2.9802694010635404e-11,0.0009837678307919,0.0420336600090973,0.0009453107395612,0.1657,0.1763,0.4,0.381,0.143071,0.123885,0.216503,0.208329
008111,3.797,0.4203,21,2.466,11.728,13.486,4,3,9,2,18,2,6,4,1,49,0,0,2,0,5,0,1,0,0,8,3.14,0.657,Barackos út / Angeli utca,47.402248,18.974427,1625,2.11559024683855e-08,0.0014756517461878,0.0510444913126443,0.0057821323003739,0.1977,0.1545,0.346,0.314,0.10905,0.156476,0.08353,0.208603
008112,5.16,0.5127,29,2.882,11.423,13.19,4,6,13,4,20,4,8,9,5,73,0,0,4,0,5,0,1,0,0,10,2.62,2.54,Szakiskola utca,47.40492,18.975841,1624,1.3496564161355167e-08,0.0019675356615838,0.0487588439860894,0.0065953012882859,0.2069,0.1824,0.368,0.377,0.108607,0.14364,0.079605,0.214292
008113,5.216,0.5649,31,2.852,11.131,12.861,4,6,13,4,20,4,10,11,6,78,0,0,4,0,5,0,1,1,0,11,2.727,2.4890000000000003,Szilvafa utca,47.405214,18.982168,1650,2.8787942806567303e-09,0.0009837678307919,0.046773265846083,0.0057291169412434,0.1737,0.1824,0.398,0.377,0.108182,0.135867,0.12497,0.206007
008114,5.774,0.5691,36,3.032,10.881,12.546,4,6,15,4,25,5,26,14,13,112,0,2,9,1,15,2,2,4,3,38,3.264,2.51,Mátyás király utca,47.404326,18.990746,1653,6.425637911082786e-10,0.0014756517461878,0.0450127310970884,0.0050185155788958,0.1773,0.1806,0.401,0.378,0.145948,0.11849,0.213696,0.192695
008115,5.284,0.5081,28,2.982,7.427,9.085,2,2,13,2,10,1,6,11,14,61,0,1,8,2,5,0,4,5,8,33,2.976,2.308,Szebeni utca,47.430338,19.016061,1592,2.541359078180304e-08,0.0009837678307919,0.051180705906047,0.0029751923232483,0.1606,0.1939,0.481,0.572,0.104918,0.13271,0.193083,0.171973
008119,6.982,0.6497,40,4.845,11.053,12.635,2,9,22,3,35,5,25,17,16,134,0,3,10,1,12,2,5,9,3,45,2.461,4.521000000000001,Mátra utca,47.400093,18.997693,1667,8.874342335463293e-12,0.0009837678307919,0.0410731963553346,0.0005979452347429,0.1679,0.1763,0.416,0.381,0.138745,0.129719,0.232872,0.232333
008124,5.946,0.3678,31,3.298,7.505,9.2,4,3,13,4,11,1,12,12,19,79,0,1,6,2,6,0,4,5,5,29,3.217,2.729,Zöldike utca,47.430738,19.012823,1604,1.1925342667667517e-07,0.0009837678307919,0.053858584788195,0.0039308156150491,0.1505,0.2151,0.481,0.528,0.106543,0.130074,0.174818,0.17802
008126,6.004,0.2235,32,3.267,7.347,9.077,4,3,12,4,17,5,11,12,20,88,1,0,6,1,6,0,4,5,3,26,3.225,2.7789999999999995,Hír utca,47.432896,19.011523,1603,5.617123431389207e-07,0.0014756517461878,0.0568782698710237,0.0049008662106675,0.1616,0.2151,0.495,0.528,0.112826,0.131304,0.149555,0.192138
008128,8.251,0.2282,40,5.447,6.263,7.713,12,13,23,10,78,12,52,35,43,278,1,10,10,3,38,5,27,14,20,128,2.921,5.33,Ady Endre út,47.435802,19.036578,1504,1.416659907786608e-07,0.0029513034923757,0.0575317655714973,0.0059562874482084,0.1677,0.1997,0.514,0.551,0.123232,0.127979,0.34313,0.349378
008132,18.801,0.5767,91,16.045,3.687,1.552,122,108,247,49,237,70,921,124,323,2201,4,10,25,5,10,4,34,7,17,116,3.31,15.490999999999998,Puskás Ferenc Stadion M,47.501283,19.107691,591,0.0475708508668455,0.0039350713231677,0.089398003605822,0.1814341159034148,0.1501,0.1594,0.572,0.599,0.154228,0.223957,0.480564,0.476051
008146,6.338,0.4059,25,6.144,3.23,1.885,24,30,66,13,71,15,98,32,47,396,6,3,9,2,20,4,20,11,2,77,3.087,3.251,Vajda Péter utca,47.481389,19.103174,451,0.0011485278708018,0.0009837678307919,0.0876406431866189,0.0259892505221398,0.1708,0.1674,0.547,0.597,0.217536,0.202971,0.452248,0.480285
