stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008956,0.095313,0.109867,0.334971,0.359404
008957,0.104135,0.116986,0.339619,0.378652
008958,0.103377,0.117870,0.337746,0.390070
008959,0.119943,0.129725,0.362227,0.316466
008960,0.127657,0.126473,0.305724,0.313732
008963,0.133714,0.124799,0.245713,0.327087
008967,0.114680,0.112131,0.267247,0.311473
008971,0.125940,0.130750,0.255765,0.242940
009025,0.258461,0.257017,0.450567,0.447853
009026,0.258750,0.256290,0.450095,0.456887
009039,0.238591,0.240675,0.460645,0.464014
009041,0.219652,0.223482,0.482681,0.488755
009042,0.213553,0.202337,0.471832,0.471420
009047,0.146540,0.137568,0.336606,0.348943
009072,0.142303,0.148930,0.455732,0.392824
009137,0.105696,0.126335,0.150954,0.195700
009138,0.109347,0.102035,0.161828,0.142475
009139,0.112575,0.124557,0.163802,0.239312
009140,0.113206,0.127724,0.166821,0.193010
009146,0.207820,0.211147,0.495687,0.474119
009147,0.104922,0.115058,0.332417,0.378773
009148,0.119486,0.130505,0.266054,0.332844
009153,0.152618,0.178157,0.385777,0.394405
009155,0.132614,0.140335,0.340548,0.426469
009161,0.239380,0.234262,0.496957,0.480037
009162,0.237736,0.235910,0.495312,0.479203
009163,0.238447,0.235910,0.496198,0.479203
009174,0.218491,0.224919,0.456644,0.438432
009179,0.214929,0.196633,0.509610,0.487789
009208,0.123688,0.124515,0.297636,0.311845
009220,0.194000,0.202243,0.504587,0.479941
009230,0.263236,0.245097,0.447064,0.469294
009234,0.122923,0.132553,0.221459,0.204074
009243,0.106259,0.111772,0.339066,0.355053
009289,0.146504,0.154593,0.419329,0.434463
009290,0.158975,0.183002,0.424024,0.446150
009295,0.179985,0.186407,0.419325,0.425025
009309,0.261495,0.247761,0.450090,0.469287
009315,0.112502,0.130665,0.095641,0.301283
009318,0.161548,0.180873,0.476741,0.452280
009321,0.238966,0.234815,0.495629,0.480148
009322,0.164784,0.148389,0.483085,0.436691
009337,0.124263,0.128467,0.187024,0.313127
009338,0.124136,0.124799,0.189735,0.327087
009339,0.130953,0.124960,0.263222,0.322905
009349,0.089718,0.124907,0.095106,0.252249
009351,0.168400,0.137256,0.112770,0.160873
009352,0.162867,0.155528,0.119390,0.360331
009353,0.161012,0.158258,0.122651,0.338300
009354,0.166008,0.155436,0.125403,0.371978
009355,0.145404,0.155670,0.116353,0.370104
009356,0.138962,0.144649,0.115762,0.396369
009358,0.125069,0.126107,0.160817,0.314099
009359,0.224911,0.230222,0.491706,0.488767
009373,0.121137,0.124304,0.337065,0.302057
009375,0.130634,0.134733,0.192887,0.207574
009377,0.121694,0.122786,0.337425,0.291828
009379,0.116006,0.117161,0.199971,0.230062
009381,0.118847,0.121371,0.334214,0.300463
009382,0.127503,0.123916,0.223112,0.279868
009383,0.122583,0.126348,0.254748,0.280148
009392,0.124278,0.128550,0.281228,0.330769
009393,0.120237,0.130281,0.257538,0.331946
009394,0.128384,0.132331,0.259865,0.341437
009413,0.218583,0.221574,0.449887,0.451736
009415,0.131813,0.125520,0.438034,0.423709
009420,0.201415,0.210387,0.493240,0.465524
009421,0.171868,0.123688,0.168238,0.165273
009422,0.171253,0.118226,0.165896,0.233867
009429,0.140753,0.144848,0.239575,0.409965
009430,0.140743,0.134728,0.240187,0.428707
009431,0.134256,0.138680,0.119580,0.422049
009445,0.112231,0.129224,0.114725,0.250250
009446,0.138514,0.115342,0.233209,0.186124
009447,0.145329,0.116279,0.217597,0.187318
009448,0.118998,0.119845,0.189194,0.219031
009449,0.123655,0.129036,0.156239,0.252499
009451,0.126236,0.114170,0.246910,0.185587
009452,0.133278,0.115005,0.250591,0.210790
009454,0.127239,0.120198,0.232056,0.316550
009455,0.122481,0.119397,0.236342,0.315179
009456,0.125292,0.134869,0.246193,0.219058
009458,0.104935,0.134277,0.229153,0.207823
009459,0.108379,0.123188,0.221537,0.261263
009460,0.094262,0.134128,0.229235,0.194353
009461,0.095767,0.134547,0.229306,0.218810
009462,0.106834,0.115626,0.073893,0.151135
009463,0.114262,0.133661,0.091168,0.169143
009465,0.122813,0.123844,0.321001,0.307840
009466,0.122816,0.126852,0.321186,0.315936
009467,0.118697,0.121723,0.307849,0.265801
009468,0.118647,0.126452,0.308062,0.323550
009469,0.115743,0.130905,0.253984,0.250754
