stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
008094,5.425,0.5763,45,2.447,10.254,9.413,5,5,15,2,35,7,17,16,9,0,1,7,0,17,0,12,0,3,2.334,3.0909999999999997,Dél-pesti autóbuszgarázs,47.42616,19.16094,897,0.0005381030190523093,0.000983767830791933,0.08070662961492656,0.007491410791391094
008095,7.574,0.501,53,8.949,10.113,9.33,3,8,28,3,37,6,23,9,12,0,2,3,0,6,0,14,0,4,1.801,5.773,Nagykőrösi út,47.425255,19.157029,895,0.0025274203150055276,0.005902606984751598,0.08749354449991392,0.08434270893326026
008096,8.272,0.4397,62,10.165,10.144,9.356,5,9,25,3,42,9,22,16,15,0,2,3,0,7,0,14,0,4,1.912,6.36,Nagykőrösi út,47.425183,19.157506,895,0.0025274203150055276,0.005902606984751598,0.08749354449991392,0.08434270893326026
008098,7.413,0.026,60,2.444,6.936,8.684,5,6,17,5,32,8,26,20,32,0,0,4,1,1,1,0,2,3,2.723,4.69,Szabina út,47.43645,19.013416,1580,2.1073280328686503e-06,0.002459419576979833,0.06026560739906326,0.015522068909265623
008106,5.239,0.4971,49,2.176,6.445,7.894,9,14,18,5,57,8,40,27,30,1,10,10,3,33,5,25,13,21,2.872,2.367,Vihar utca,47.434282,19.035651,1503,1.424849206539867e-07,0.001967535661583866,0.05758064972951539,0.0005755872280574548
008109,4.559,0.65,44,1.905,11.045,12.695,1,4,12,3,16,4,5,8,2,0,4,9,2,17,2,2,5,3,3.291,1.2680000000000002,Damjanich utca,47.402518,18.991053,1652,1.37133654302543e-10,0.000983767830791933,0.04338547557566316,0.0016747857085742388
008110,4.693,0.6892,45,1.92,11.334,12.965,1,5,13,3,18,4,8,9,5,3,4,10,2,20,3,5,6,3,3.256,1.4369999999999998,Barosstelep vasútállomás,47.399613,18.990911,1651,2.9802694010635404e-11,0.000983767830791933,0.0420336600090973,0.0009453107395612425
008111,3.777,0.3885,32,2.209,11.728,13.486,4,3,8,2,16,2,6,4,1,0,0,2,0,5,0,1,0,0,3.14,0.637,Barackos út / Angeli utca,47.402248,18.974427,1625,2.11559024683855e-08,0.0014756517461878996,0.05104449131264437,0.005782132300373939
008112,4.26,0.4886,37,2.486,11.423,13.19,4,6,10,3,17,2,5,6,3,0,0,4,0,5,0,1,0,0,2.62,1.6399999999999997,Szakiskola utca,47.40492,18.975841,1624,1.3496564161355167e-08,0.001967535661583866,0.048758843986089456,0.006595301288285975
008113,4.346,0.5201,39,2.399,11.131,12.861,4,5,8,3,15,2,5,6,3,0,0,4,0,5,0,1,1,0,2.727,1.6190000000000002,Szilvafa utca,47.405214,18.982168,1650,2.87879428065673e-09,0.000983767830791933,0.04677326584608305,0.005729116941243445
008114,4.741,0.5852,44,2.04,10.881,12.546,3,5,12,4,17,4,6,7,3,0,2,9,1,15,2,2,4,3,3.264,1.4769999999999999,Mátyás király utca,47.404326,18.990746,1653,6.425637911082787e-10,0.0014756517461878996,0.045012731097088456,0.005018515578895891
008115,4.685,0.4886,37,1.418,7.427,9.085,2,2,11,2,8,1,5,9,14,0,1,8,2,5,0,4,5,8,2.976,1.7089999999999996,Szebeni utca,47.430338,19.016061,1592,2.5413590781803036e-08,0.000983767830791933,0.05118070590604703,0.002975192323248394
008116,3.432,0.6516,28,0.607,7.413,9.062,1,2,7,2,7,1,4,9,11,0,1,8,2,5,0,5,5,8,2.888,0.544,Szebeni utca,47.430177,19.016896,1592,2.5413590781803036e-08,0.000983767830791933,0.05118070590604703,0.002975192323248394
008119,4.929,0.7005,44,2.62,11.053,12.635,2,6,14,2,23,5,23,12,12,0,3,10,1,12,2,5,9,3,2.461,2.4680000000000004,Mátra utca,47.400093,18.997693,1667,8.874342335463293e-12,0.000983767830791933,0.041073196355334664,0.0005979452347429798
008124,5.504,0.3089,44,1.771,7.505,9.2,3,3,9,4,9,1,11,11,17,0,1,6,2,6,0,4,5,5,3.217,2.2869999999999995,Zöldike utca,47.430738,19.012823,1604,1.1925342667667517e-07,0.000983767830791933,0.05385858478819509,0.003930815615049167
008125,3.789,0.5835,32,1.26,7.477,9.182,2,2,9,2,7,1,4,9,12,0,1,6,2,5,0,4,5,5,3.159,0.6300000000000003,Zöldike utca,47.431205,19.012359,1604,1.1925342667667517e-07,0.000983767830791933,0.05385858478819509,0.003930815615049167
008126,5.728,0.2188,46,2.732,7.347,9.077,3,2,10,4,17,5,9,13,17,1,0,6,1,6,0,4,5,3,3.225,2.5029999999999997,Hír utca,47.432896,19.011523,1603,5.617123431389207e-07,0.0014756517461878996,0.0568782698710237,0.004900866210667588
008127,3.572,0.5888,33,1.421,7.35,9.081,2,2,7,2,7,1,4,7,12,0,0,6,1,6,0,4,4,3,2.959,0.613,Hír utca,47.432914,19.011403,1603,5.617123431389207e-07,0.0014756517461878996,0.0568782698710237,0.004900866210667588
008128,5.29,0.4812,51,2.114,6.263,7.713,5,12,21,7,55,11,42,27,24,1,10,10,3,38,5,27,14,20,2.921,2.369,Ady Endre út,47.435802,19.036578,1504,1.416659907786608e-07,0.002951303492375799,0.0575317655714973,0.0059562874482084706
008132,9.587,0.5304,87,5.456,3.687,1.552,48,52,120,26,89,29,353,60,121,4,10,25,5,10,4,34,7,17,3.31,6.276999999999999,Puskás Ferenc Stadion M,47.501283,19.107691,591,0.04757085086684559,0.003935071323167732,0.08939800360582208,0.18143411590341482
008146,5.307,0.5512,52,3.015,3.23,1.885,20,21,42,12,75,8,71,31,22,6,3,9,2,20,4,20,11,2,3.087,2.22,Vajda Péter utca,47.481389,19.103174,451,0.0011485278708018942,0.000983767830791933,0.08764064318661896,0.025989250522139833
008147,5.419,0.3931,52,4.352,3.251,1.869,15,19,42,8,42,9,69,16,33,6,2,9,2,21,4,21,11,2,3.152,2.2669999999999995,Vajda Péter utca,47.48177,19.103619,451,0.0011485278708018942,0.000983767830791933,0.08764064318661896,0.025989250522139833
008148,7.048,0.4807,68,5.79,3.423,1.73,27,27,65,13,82,19,102,33,42,7,2,11,0,15,2,13,11,2,2.947,4.101,Kőbányai út / Könyves Kálmán körút,47.485742,19.107077,608,0.0038052310934308413,0.003935071323167732,0.08487454598588903,0.03265801703035729
008149,6.789,0.1723,73,2.85,3.449,1.724,21,20,57,12,53,18,81,24,38,6,3,11,1,17,2,13,12,2,3.112,3.6769999999999996,Kőbányai út / Könyves Kálmán körút,47.486236,19.107515,608,0.0038052310934308413,0.003935071323167732,0.08487454598588903,0.03265801703035729
