stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
075744,4.384,4.373,6.443
076394,10.042,10.017,10.34
076395,9.954,9.93,10.241
076396,9.354,9.33,9.512
076397,9.401,9.378,9.567
076398,9.636,9.611,9.872
076399,9.674,9.65,9.917
078004,3.525,3.494,5.132
078064,4.65,4.655,6.278
081565,3.487,3.456,5.062
081950,7.21,7.22,8.52
081954,2.904,2.874,4.111
082200,6.835,6.81,7.277
082617,4.278,4.266,6.347
082623,10.372,10.378,11.875
083329,9.861,9.858,11.659
083330,9.896,9.894,11.688
083331,7.033,7.041,8.433
083777,7.086,7.096,8.416
085772,8.743,8.772,8.46
086855,2.591,2.622,2.043
086856,2.569,2.601,1.969
086857,3.055,3.086,2.471
086858,3.277,3.309,2.338
086859,3.254,3.286,2.272
086866,2.459,2.491,1.734
086874,9.498,9.53,8.407
086875,9.732,9.763,8.624
086876,10.071,10.103,8.953
086880,3.259,3.291,2.3
086885,2.492,2.524,1.897
087373,11.326,11.357,10.663
090482,2.781,2.787,1.393
090915,4.193,4.194,5.973
091120,4.716,4.736,5.563
091338,2.878,2.876,2.023
091816,7.125,7.117,6.116
091817,7.068,7.061,6.065
091821,7.08,7.072,6.079
096830,7.074,7.075,8.811
099342,2.1,2.073,3.24
099343,2.063,2.036,3.194
099344,2.091,2.065,3.152
099629,3.623,3.619,5.529
099630,3.594,3.592,5.488
099631,3.753,3.748,5.705
099632,3.726,3.722,5.669
099634,4.021,4.013,6.023
100836,10.258,10.235,10.441
100837,10.66,10.636,10.867
100838,10.655,10.631,10.863
102283,3.722,3.743,4.527
102568,10.357,10.363,11.852
102569,10.269,10.274,11.759
102602,2.097,2.125,0.666
102797,4.279,4.311,3.259
103897,13.751,13.778,11.738
105925,1.039,1.011,2.589
106324,10.612,10.609,9.222
106325,10.622,10.619,9.233
108188,1.751,1.778,2.525
108458,1.573,1.598,2.614
108550,2.288,2.32,1.77
109462,8.784,8.811,8.665
109565,7.978,8.009,7.12
109566,8.015,8.047,7.056
109702,14.135,14.163,12.127
CS007899,4.02,4.012,6.029
CS009703,2.654,2.681,3.218
CS050182,13.484,13.516,12.076
CS050183,13.528,13.56,12.178
CS056176,10.974,10.95,11.101
CS056230,0.826,0.843,1.33
CS056232,1.322,1.337,0.888
CS107475,3.622,3.644,4.43
CSF00062,2.566,2.536,3.97
CSF00094,3.054,3.023,4.871
CSF00097,2.547,2.516,4.488
CSF00140,4.519,4.494,5.114
CSF00185,3.349,3.321,4.352
CSF00461,12.071,12.053,11.695
CSF00471,12.093,12.075,11.71
CSF00481,10.824,10.804,10.619
CSF00483,8.709,8.689,8.549
CSF00487,9.642,9.623,9.435
CSF00511,7.592,7.571,7.581
CSF00568,7.021,6.995,7.439
CSF00579,7.046,7.025,7.063
CSF00619,5.741,5.719,5.922
CSF00625,5.692,5.67,5.845
CSF00632,5.12,5.097,5.439
CSF00678,9.139,9.116,9.356
CSF00897,7.834,7.822,7.104
CSF00913,8.168,8.159,7.233
CSF00958,2.126,2.098,3.387
CSF00960,1.068,1.04,2.618
CSF00997,1.265,1.239,2.589
CSF00999,0.796,0.766,2.862
CSF01019,0.568,0.545,2.189
CSF01025,2.466,2.445,3.023
CSF01093,2.003,1.991,2.159
CSF01096,2.27,2.26,2.139
CSF01101,2.559,2.551,2.167
CSF01108,0.691,0.669,2.175
CSF01289,0.032,0.0,2.163
CSF01415,4.262,4.289,4.503
CSF01489,4.137,4.169,3.132
CSF01820,6.956,6.978,4.819
CSF02307,3.432,3.404,5.463
CSF02481,3.412,3.381,5.006
CSF02680,3.912,3.896,3.783
CSF02684,6.642,6.629,6.046
CSF03293,12.661,12.681,10.52
CSF03409,12.331,12.349,10.2
CSF03411,12.1,12.117,9.984
CSF03414,12.175,12.197,10.035
CSF03416,11.35,11.371,9.211
CSF03417,10.707,10.729,8.57
CSF03419,10.257,10.279,8.121
CSF03421,13.272,13.292,11.129
CSF03423,8.2,8.223,6.066
CSF03425,9.053,9.075,6.918
CSF03785,13.502,13.534,12.1
CSF03788,13.545,13.577,12.197
CSF03884,12.563,12.595,11.236
CSF03930,5.611,5.642,4.425
CSF04052,8.053,8.08,8.117
CSF04150,6.179,6.205,6.37
CSF04183,6.975,6.993,7.798
CSF04272,7.595,7.613,8.434
CSF04319,6.475,6.493,7.301
CSF04369,5.051,5.071,5.809
CSF04534,9.635,9.661,9.684
CSF04540,10.782,10.807,10.855
CSF04546,11.578,11.603,11.693
CSF04548,12.617,12.64,12.911
CSL008159,5.583,5.569,5.107
CSLM1HTV,2.978,2.973,2.292
CSLM1MUV,4.008,4.009,2.699
CSLM1OKV,1.742,1.727,2.228
CSLM1OPV,1.443,1.423,2.397
CSLM1SFV,3.432,3.429,2.534
CSLM1VTV,1.187,1.156,2.902
CSLM2BLA,1.071,1.074,1.403
CSLM2OVE,5.805,5.826,3.666
CSLM2PF1,3.527,3.547,1.388
CSLM2PU2,4.57,4.591,2.429
CSLM3AHG,4.82,4.806,4.47
CSLM3LED,3.138,3.12,3.283
CSLM3NTF,2.373,2.405,1.804
CSLM3NYA,2.423,2.402,3.016
CSLM4BP1,3.468,3.464,5.384
CSLM4FT1,0.487,0.48,2.589
CSLM4KFD,4.238,4.229,6.263
CSLM4MKF,1.741,1.737,3.73
CSLM4SG1,0.902,0.898,2.948
CSLM4UK1,2.09,2.088,4.006
CSLMXKPB,1.905,1.916,0.757
F00001,2.1,2.077,4.233
F00002,2.377,2.349,4.445
F00003,2.384,2.356,4.451
F00004,2.336,2.31,4.441
F00005,2.294,2.268,4.395
F00006,1.944,1.916,4.024
F00007,1.997,1.97,4.086
F00008,1.98,1.953,4.068
F00009,1.971,1.944,4.063
F00010,1.934,1.909,4.053
F00011,1.881,1.856,3.994
F00012,1.744,1.722,3.884
F00013,2.996,2.967,4.972
F00014,2.921,2.892,4.907
F00015,2.944,2.915,4.921
F00016,3.015,2.985,4.974
F00017,2.992,2.961,4.939
