stop_id,walk15_gini,multimodal_gini,walk15_mean_price,multimodal_mean_price
061273,0.1633,0.155,0.672,0.688
061274,0.143,0.1515,0.707,0.694
061275,0.1432,0.1515,0.706,0.694
061277,0.1442,0.1515,0.711,0.694
061278,0.144,0.1515,0.712,0.694
061280,0.144,0.1515,0.712,0.694
061286,0.1678,0.2134,0.632,0.536
061350,0.1604,0.1613,0.614,0.595
061351,0.1598,0.156,0.614,0.601
061368,0.1621,0.1616,0.637,0.598
062511,0.1335,0.1515,0.642,0.694
062512,0.1409,0.1515,0.684,0.694
062513,0.1656,0.2019,0.484,0.563
062514,0.1656,0.2019,0.484,0.563
062515,0.1478,0.0679,0.419,0.548
062516,0.1522,0.1562,0.412,0.448
062517,0.1628,0.1556,0.671,0.604
062518,0.187,0.1138,1.058,0.736
062519,0.2417,0.1521,0.806,0.695
062521,0.1747,0.1931,0.686,0.815
062522,0.1715,0.1562,0.42,0.448
062607,0.0921,,0.68,
062608,0.0916,,0.649,
062620,0.0932,,0.661,
062621,0.0967,,0.646,
062622,0.0846,,0.66,
062726,0.1484,0.1851,0.7,0.431
062756,0.148,,0.763,
062757,0.149,,0.703,
062759,0.1952,0.1931,0.784,0.815
062815,0.1573,0.1791,0.438,0.391
062861,0.1498,0.1216,0.767,0.888
062942,0.1663,0.1337,0.656,0.663
063399,0.2135,,0.362,
064208,0.1379,0.0768,0.703,0.684
064209,0.1379,0.0768,0.703,0.684
064210,0.1474,0.0768,0.696,0.684
064212,0.1018,0.0768,0.635,0.684
064214,0.1018,0.0768,0.635,0.684
064215,0.0727,0.0768,0.671,0.684
064377,0.1814,0.2374,0.612,0.668
066434,0.1657,0.193,0.541,0.566
066451,0.093,0.164,0.725,0.63
066452,0.0933,0.17,0.713,0.632
066453,0.0981,0.1917,0.705,0.507
066454,0.0978,0.164,0.707,0.63
066455,0.0941,,0.705,
066456,0.093,0.1702,0.71,0.634
066457,0.102,0.1889,0.67,0.618
066458,0.1003,0.1697,0.671,0.357
066459,0.1053,0.1889,0.665,0.618
066460,0.1043,0.1697,0.667,0.357
066679,0.2043,0.1841,0.353,0.352
066680,0.2043,0.1837,0.353,0.355
066681,0.2092,0.1845,0.349,0.419
066682,0.2092,0.1849,0.349,0.354
066683,0.2071,0.1845,0.351,0.419
066684,0.2075,0.1852,0.353,0.35
066685,0.201,0.1845,0.365,0.419
066686,0.201,0.1841,0.365,0.352
066687,0.2026,0.0986,0.367,0.272
066688,0.2026,0.1845,0.367,0.419
066697,0.2207,0.1845,0.349,0.419
066698,0.2142,0.1598,0.379,0.448
066699,0.1839,0.1598,0.349,0.448
066700,0.1916,0.1598,0.358,0.448
066711,0.1679,0.0904,0.395,0.388
066712,0.1867,0.1751,0.399,0.371
066713,0.2015,0.1751,0.405,0.371
066714,0.2188,0.0771,0.372,0.403
066715,0.2198,0.0904,0.372,0.388
066716,0.2182,,0.374,
066717,0.2173,0.0904,0.374,0.388
066718,0.2108,,0.404,
066719,0.2036,0.0904,0.403,0.388
066720,0.2175,,0.377,
066722,0.2025,0.0771,0.389,0.403
066828,0.1444,0.1387,0.711,0.734
066856,0.1596,0.176,0.871,0.882
066969,0.1938,0.1845,0.337,0.419
067592,0.1805,0.1875,0.859,0.813
069089,0.1555,0.1536,0.834,0.827
069090,0.1545,0.1536,0.833,0.827
069091,0.1588,0.1525,0.842,0.801
069092,0.1639,0.1679,0.84,0.734
069093,0.1657,0.1526,0.836,0.842
069403,0.1594,0.175,0.344,0.337
071262,0.0931,0.1917,0.726,0.507
071659,0.1615,0.1879,0.861,0.809
072851,0.1306,0.1523,0.75,0.804
072934,0.1855,0.0,1.107,0.79
072935,0.1777,0.0852,1.076,0.843
073152,0.1378,0.1521,0.766,0.804
075220,0.2079,0.2073,0.587,0.597
075654,0.1297,0.1728,0.337,0.371
075655,0.1297,0.1869,0.337,0.339
075744,0.1419,0.1514,0.725,0.694
076394,0.1692,0.0194,0.655,0.645
076395,0.169,0.0541,0.655,0.602
076396,0.1739,0.1273,0.685,0.552
076397,0.1707,0.0541,0.625,0.602
076398,0.193,0.0541,0.655,0.602
076399,0.1854,0.0541,0.658,0.602
078004,0.1427,0.1517,0.777,0.804
078064,0.143,,0.671,
081565,0.1471,0.1517,0.786,0.804
081950,0.159,0.1997,0.466,0.551
081954,0.1642,0.18,0.838,0.75
082200,0.1479,0.1493,0.618,0.658
082617,0.1467,0.1515,0.722,0.694
082623,0.1823,0.1835,0.482,0.43
083329,0.1286,0.0679,0.382,0.548
083330,0.1277,0.1562,0.38,0.448
083331,0.1516,0.1879,0.459,0.535
083777,0.1585,0.1997,0.465,0.551
085772,0.1777,0.1897,0.345,0.302
086855,0.1449,0.1654,0.615,0.621
086856,0.1462,0.1471,0.615,0.649
086857,0.1265,0.1601,0.522,0.632
086858,0.1698,0.1927,0.589,0.565
086859,0.1634,0.193,0.603,0.566
086866,0.1523,0.1948,0.576,0.511
086874,0.14,0.1545,0.397,0.397
086875,0.1404,0.1532,0.389,0.388
086876,0.1435,0.1532,0.388,0.388
086880,0.1634,0.1927,0.603,0.565
086885,0.1454,0.1471,0.611,0.649
087373,0.1614,0.2081,0.397,0.33
090482,0.1492,0.1121,0.625,0.636
090915,0.1328,0.1912,0.661,0.625
091120,0.0,,0.34,
091338,0.1663,0.1457,0.687,0.67
091816,0.1366,0.1503,0.551,0.564
091817,0.1334,0.1503,0.555,0.564
091821,0.1317,0.1503,0.556,0.564
