stop_id,mean_price
F00189,0.827
F00191,0.827
F00192,0.801
F00193,0.829
F00194,0.804
F00195,
F00196,0.829
F00198,0.804
F00199,0.784
F00201,
F00202,0.829
F00203,
F00204,
F00205,
F00206,
F00207,0.848
F00208,
F00209,0.848
F00210,
F00211,0.819
F00212,
F00213,0.922
F00214,0.925
F00215,0.845
F00216,0.925
F00217,0.922
F00218,0.927
F00219,0.922
F00220,0.848
F00221,0.927
F00222,
F00223,0.848
F00224,
F00225,
F00226,
F00227,
F00228,0.848
F00229,
F00230,
F00231,
F00232,0.75
F00233,
F00234,0.827
F00235,0.827
F00236,0.827
F00237,0.827
F00239,0.734
F00240,0.8
F00241,0.66
F00242,0.838
F00243,0.662
F00244,0.734
F00245,0.675
F00246,0.734
F00247,0.734
F00248,0.734
F00249,0.796
F00250,0.675
F00251,0.807
F00252,0.734
F00253,0.807
F00254,0.734
F00255,0.807
F00256,0.734
F00257,0.823
F00258,0.807
F00259,0.83
F00260,0.807
F00261,0.83
F00262,0.823
F00264,0.83
F00265,0.823
F00266,0.83
F00267,0.83
F00268,0.817
F00269,0.83
F00270,0.817
F00271,0.816
F00272,0.83
F00273,0.83
F00278,0.846
F00279,0.847
F00280,0.924
F00281,0.918
F00282,0.928
F00283,0.914
F00284,0.914
F00285,0.793
F00286,0.914
F00287,0.811
F00288,0.918
F00289,0.811
F00292,0.925
F00293,0.922
F00294,0.922
F00295,0.922
F00296,0.854
F00297,0.842
F00298,0.843
F00299,0.922
F00300,0.925
F00301,0.805
F00302,0.843
F00303,0.804
F00304,0.804
F00305,0.804
F00307,0.804
F00308,0.804
F00310,0.833
F00311,0.829
F00312,0.829
F00313,0.834
F00314,0.834
F00315,0.855
F00316,0.807
F00317,0.855
F00318,0.807
F00319,0.855
F00320,0.836
F00321,0.756
F00322,0.756
F00323,0.855
F00324,0.829
F00325,0.856
F00326,0.829
F00327,
F00328,0.855
F00329,
F00330,0.856
F00331,
F00332,0.856
F00345,0.807
F00346,0.807
F00347,0.807
F00348,0.807
F00372,0.843
F00373,0.804
F00408,0.811
F00409,0.811
F00410,0.811
F00411,0.852
F00412,0.804
F00414,0.829
F00415,0.829
F00416,0.904
F00417,0.756
F00422,0.804
F00423,0.83
F00424,0.83
F00425,0.811
F00426,0.814
F00427,0.808
F00428,0.811
F00429,0.829
F00430,0.844
F00431,0.844
F00432,0.829
F00435,0.485
F00436,
F00437,
F00438,0.643
F00439,0.606
F00440,0.781
F00441,0.781
F00442,0.634
F00443,0.781
F00444,0.781
F00445,0.643
F00446,0.606
F00447,0.623
F00448,0.61
F00449,0.631
F00450,0.606
F00451,0.645
F00452,0.623
F00453,0.616
F00454,0.63
F00455,0.612
F00456,0.617
F00457,0.613
F00458,0.613
F00459,0.617
F00460,0.62
F00462,0.661
F00463,0.617
F00464,0.617
F00465,0.651
F00466,0.649
