stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1384151,8.324,8.295,3.249
1391118,6.97,6.945,2.942
1391119,6.944,6.919,2.92
1391120,7.229,7.204,3.209
1391121,7.135,7.11,3.158
1391125,7.261,7.236,3.228
1391134,7.283,7.257,3.058
1391135,7.288,7.262,3.06
1391124,7.155,7.129,3.033
1391136,7.148,7.123,3.033
1391103,6.98,6.954,2.665
1391107,6.946,6.92,2.659
1391190,7.615,7.589,3.289
1391191,7.552,7.526,3.245
1391142,7.877,7.85,3.208
1391143,7.919,7.892,3.242
1391141,7.543,7.516,2.899
1391192,8.195,8.168,3.54
1391193,8.179,8.152,3.521
1391140,7.663,7.636,3.009
1391100,7.103,7.076,2.681
1391102,7.101,7.075,2.672
1391101,6.94,6.914,2.43
1391104,6.859,6.832,2.352
1370128,6.693,6.666,2.136
1381113,6.702,6.675,2.171
1370119,6.532,6.504,1.826
1370120,6.513,6.486,1.813
1401106,9.251,9.226,5.044
1401130,9.226,9.201,5.05
1401132,9.174,9.149,4.984
1401131,9.462,9.437,5.165
1401133,9.414,9.389,5.136
1401134,9.587,9.562,5.236
1401135,9.624,9.599,5.261
1401124,9.723,9.697,5.238
1401136,9.771,9.745,5.3
1401113,9.999,9.972,5.403
1401148,9.931,9.905,5.325
1401180,9.859,9.833,5.285
1401151,8.795,8.77,4.687
1403169,9.222,9.197,4.762
1403170,9.155,9.129,4.676
1401111,9.669,9.643,5.128
1401112,9.647,9.621,5.129
1401119,9.576,9.55,5.06
1403167,8.961,8.935,4.379
1403168,8.979,8.953,4.419
1401123,10.626,10.599,5.814
1401224,10.704,10.677,5.87
1402120,10.696,10.669,5.892
1402119,10.452,10.425,5.611
1402153,10.471,10.444,5.628
1401127,10.647,10.621,6.042
1402121,10.313,10.286,5.435
1402122,10.339,10.311,5.439
1411130,10.425,10.398,5.431
1411131,10.423,10.395,5.414
1411101,10.316,10.288,5.262
1411128,10.363,10.335,5.316
1402150,10.253,10.225,5.309
1402152,10.292,10.264,5.348
1411109,10.159,10.131,5.077
1411110,10.166,10.138,5.081
1401128,10.436,10.41,5.841
1401129,10.74,10.714,6.147
1401154,10.011,9.984,5.317
1401155,10.004,9.977,5.296
1402127,10.055,10.028,5.3
1402128,10.052,10.025,5.264
1402144,10.158,10.131,5.314
1402145,10.094,10.067,5.278
1411115,9.856,9.828,4.836
1411116,9.865,9.837,4.846
1402156,9.836,9.808,4.844
1402157,9.749,9.721,4.755
1333502,6.865,6.865,7.872
1333552,6.865,6.865,7.872
1401138,10.227,10.201,5.613
1401152,10.168,10.142,5.577
1401115,9.985,9.959,5.592
1401147,10.224,10.198,5.542
1401149,10.385,10.358,5.713
1411124,10.303,10.275,5.194
1411125,10.346,10.317,5.226
1411123,10.489,10.46,5.349
1411122,10.392,10.363,5.258
1411108,10.166,10.137,5.016
1411107,10.295,10.266,5.146
1413256,9.982,9.953,4.826
1411106,9.879,9.851,4.724
1403133,8.812,8.785,4.119
1403166,8.861,8.834,4.173
1411113,9.635,9.607,4.613
1411114,9.655,9.627,4.633
1402173,9.412,9.384,4.398
1411174,9.486,9.458,4.474
1392180,9.318,9.29,4.332
1402179,9.33,9.302,4.34
1392184,9.122,9.094,4.273
1402183,9.15,9.122,4.296
1392165,8.87,8.843,4.063
1392185,8.801,8.774,4.0
1403164,8.799,8.772,4.019
1403194,8.327,8.301,3.724
1403195,8.322,8.295,3.724
1391196,8.64,8.613,3.919
1403175,8.634,8.607,3.947
1403197,8.563,8.536,3.885
1403130,8.55,8.524,4.014
1403131,8.513,8.487,4.0
1403128,8.365,8.339,3.94
1403129,8.363,8.337,3.94
1403171,8.685,8.659,4.055
1403172,8.683,8.656,4.059
1392154,8.687,8.66,3.84
1382122,6.542,6.514,1.636
1383130,5.906,5.878,0.863
1383131,5.928,5.9,0.887
1383180,5.821,5.793,0.95
1383181,5.867,5.839,0.963
1383128,5.843,5.815,0.694
1383129,5.83,5.801,0.676
1370115,5.817,5.79,1.477
1370116,5.857,5.83,1.572
1370106,5.946,5.919,1.683
1370117,5.776,5.749,1.271
1370122,5.794,5.767,1.275
1342101,5.271,5.248,2.51
1342102,5.225,5.202,2.542
