stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1335100,1.963,0.9445,7,0.482,7.036,6.587,0,0,3,0,52,0,4,6,2,67,0,0,1,0,65,0,5,3,5,79,3.042,-1.0789999999999995,1.956353281954581e-06,0.0017152658662092,0.0700086414346145,0.001712321203778,617,60.259206,24.893241,Kuninkaantammenaukio,1325,0.302267,0.259738,51657.0,68799.0
1333105,4.419,0.1589,27,1.596,7.419,8.521,0,2,8,0,112,1,22,20,20,185,0,2,8,1,116,2,18,14,27,188,3.136,1.2829999999999997,2.2560346759439983e-09,0.0017152658662092,0.0544009096690885,0.001712321203778,835,60.251343,24.85015,Neulastie,1289,0.32011,0.320163,36057.0,36301.0
1492143,5.113,0.4955,32,2.038,8.557,8.579,1,1,4,0,79,1,14,20,5,125,0,0,1,0,10,0,2,4,0,17,2.276,2.8370000000000006,1.3595535851310802e-12,0.0025728987993138,0.0464634103935276,0.0136161190821487,44,60.16404,25.07081,Rannikkolaivurintie,2454,0.287499,0.30473,62946.0,49070.0
1492121,3.707,0.6283,22,1.125,8.733,8.597,0,1,4,0,44,1,9,13,4,76,0,0,1,0,6,0,1,3,0,11,2.274,1.4329999999999998,3.052733925081125e-13,0.0025728987993138,0.0444156956857936,0.0051281296240402,46,60.165093,25.075415,Puuskaniementie,2447,0.277785,0.304163,70838.0,49491.0
1492141,6.062,0.4025,40,3.071,8.097,8.317,1,1,5,0,84,1,15,22,5,134,0,0,2,0,17,0,2,5,0,26,2.647,3.4150000000000005,7.082366906146185e-12,0.0025728987993138,0.0486968162992093,0.0161355722583352,296,60.16448,25.06189,Takilatie,2452,0.304829,0.307051,48894.0,46723.0
1492100,2.235,0.8466,13,0.494,9.289,9.151,0,0,2,0,19,0,2,6,0,29,0,0,0,0,3,0,2,2,0,7,1.756,0.4789999999999998,5.541114457431055e-14,0.0008576329331046,0.0425252856553241,0.0,38,60.161556,25.083062,Jollas Instituutti,2445,0.2756,0.299771,72608.0,52806.0
1492151,3.707,0.6283,22,1.125,8.94,8.642,0,1,4,0,44,1,9,13,4,76,0,0,1,0,4,0,1,3,0,9,1.994,1.713,5.569563631172373e-14,0.0017152658662092,0.0425315116771616,0.0034216977451247,48,60.16611,25.08049,Kellaripellonpolku,2461,0.2756,0.299032,72608.0,53778.0
1492147,3.599,0.652,21,1.087,8.845,8.453,0,1,4,0,42,1,9,12,4,73,0,0,0,0,4,0,1,3,0,8,1.465,2.1340000000000003,1.0152094665484091e-14,0.0017152658662092,0.040797817236561,0.001712321203778,47,60.16808,25.08038,Puuskakuja,2458,0.2756,0.299032,72608.0,53778.0
1492149,3.198,0.7284,18,0.99,8.713,8.201,0,1,4,0,34,1,9,8,4,61,0,0,0,0,2,0,1,2,0,5,1.089,2.109,1.7929923354073665e-15,0.0008576329331046,0.0391972821903097,0.0,49,60.17061,25.07991,Puuskarinne,2460,0.2756,0.304124,72608.0,49525.0
1370103,14.344,0.708,82,9.723,5.19,1.362,3,7,34,2,222,12,76,66,27,449,1,1,7,0,46,1,10,14,2,82,3.416,10.928,0.0018250309822951,0.0025728987993138,0.1101111940236646,0.0067284097247558,50,60.23991,24.97993,Isonpellontie,1470,0.306429,0.305006,38668.0,42721.0
1370107,24.879,0.6794,154,27.124,5.79,1.15,7,11,52,3,357,17,167,102,48,764,1,1,6,0,59,3,9,17,2,98,3.419,21.46,0.0095129058096844,0.0102915951972555,0.1233942264555306,0.1568705776329744,231,60.242171,24.993044,Pukinmäen asema,1473,0.302148,0.303302,34980.0,43826.0
1284178,7.359,0.5337,40,3.61,4.761,1.461,2,5,18,1,117,5,48,29,20,245,0,0,5,0,53,2,9,16,3,88,3.329,4.029999999999999,0.0003602598695692,0.0017152658662092,0.0993250218421858,0.0008911022420029,1121,60.23699,24.97454,Oulunkylän rantap.,864,0.308445,0.313806,41629.0,38855.0
1510101,4.512,0.3798,26,1.524,8.068,9.031,1,1,4,0,77,1,13,19,5,121,0,0,1,0,11,0,3,4,0,19,1.899,2.6129999999999995,1.6217262952775848e-12,0.0017152658662092,0.0464522658617522,0.0068316168405244,51,60.1551,25.04894,Hevossalmen silta,2487,0.298263,0.310258,43526.0,41470.0
1510103,3.676,0.5365,22,1.132,8.142,9.307,0,1,4,0,49,1,9,16,4,84,0,0,0,0,3,0,3,2,0,8,2.045,1.6310000000000002,3.056871114208538e-13,0.0025728987993138,0.0443987249935707,0.0051310742864714,52,60.15202,25.04565,Kadettikoulu,2489,0.27672,0.310147,51364.0,40952.0
1495154,5.255,0.0722,33,1.522,7.829,8.625,1,1,5,0,83,1,14,22,5,132,0,0,1,0,19,0,2,5,0,27,1.868,3.387,8.880768950039064e-12,0.0017152658662092,0.0487008981781949,0.0085321593945774,267,60.15902,25.04939,Hevossalmi,2484,0.313661,0.311265,39041.0,41319.0
1510105,2.207,0.762,12,0.477,8.147,9.524,0,0,3,0,26,1,5,5,1,41,0,0,0,0,3,0,3,2,0,8,2.088,0.1189999999999997,5.3975450365009355e-14,0.0008576329331046,0.0425097285725894,0.0,53,60.14938,25.04102,Kasarmit,2491,0.2719,0.310147,53118.0,40952.0
1510106,3.259,0.6744,19,0.912,8.101,9.426,0,1,4,0,46,1,9,14,4,79,0,0,0,0,3,0,3,2,0,8,2.063,1.1959999999999995,5.5713017722497435e-14,0.0017152658662092,0.0425128390784667,0.001712321203778,54,60.15038,25.04175,Kasarmit,2492,0.2719,0.311265,53118.0,41319.0
1510107,2.601,0.671,15,0.685,8.356,9.874,0,1,4,0,35,1,9,6,4,60,0,0,0,0,3,0,2,2,0,7,2.423,0.1779999999999999,9.838407490850782e-15,0.0008576329331046,0.0407777733903611,0.0,55,60.14598,25.03965,Santahamina,2493,0.2719,0.310258,53118.0,41470.0
