stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_med_inc_walk,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,weighted_gini_multi,weighted_med_inc_multi,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi
1201602,7.647,0.7872,177,3.413,4.229,9.082,112,24,87,11,230,51,842,70,495,1922,18,4,13,5,82,8,95,25,80,330,2.777,4.87,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162714,24.913852,Ruoholahti,0.3256421919935205,41376.0842012747,1497.5725349222103,3724.0379324305613,2583.4693079523486,0.31893224836828515,42595.81075231392,1521.4779670328082,3575.1908057396067,2838.3109814070904
1201113,7.647,0.7872,177,3.413,4.143,8.986,112,24,87,11,230,51,842,70,495,1922,23,5,18,5,86,12,132,28,104,413,3.078,4.569000000000001,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.163335,24.915131,Ruoholahti,0.3245969204002239,41698.52820729141,1525.047529274193,3746.0051583026243,2744.4176483325414,0.31893224836828515,42595.81075231392,1521.4779670328082,3575.1908057396067,2838.3109814070904
1310126,3.539,0.6525,37,1.305,5.402,10.537,8,3,8,2,139,3,46,17,17,243,2,2,7,1,88,3,30,14,16,163,2.95,0.589,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,21,60.16071,24.87498,Lahnalahden puisto,0.3045344733277316,46688.04636896388,1242.1928961698839,3701.8006443618747,3288.2361115077733,0.3016255574409386,47635.81609258189,1156.750876917655,3450.0707477418905,3079.4064490658
1310113,3.082,0.7098,26,1.13,6.099,11.243,8,3,8,2,113,3,39,16,17,209,1,2,6,0,69,3,24,10,9,124,2.481,0.601,6.035837268846404e-07,0.0017152658662092,0.0570000701722619,2.441615932586861e-05,25,60.15688,24.86445,Takaniementie,0.3050025811780761,46551.50833811637,1252.9756671916482,3727.0161066848946,3301.92927647789,0.3058605284169674,46414.558775764555,1251.7028876431114,3664.7935590716233,3185.839712840272
1310114,3.875,0.6844,42,1.385,6.086,11.228,9,3,9,4,147,4,62,23,33,294,1,2,7,0,70,3,25,10,10,128,2.539,1.336,6.035837268846404e-07,0.0017152658662092,0.0570000701722619,2.441615932586861e-05,25,60.15665,24.86538,Takaniementie,0.30412582789522424,46807.24035946909,1232.7798300899751,3679.7882309847428,3276.2823506009863,0.30387107321323825,47065.65058442029,1192.729895828729,3489.8590285959376,3039.4080881680293
1310115,2.964,0.7323,27,0.637,6.021,11.176,8,3,8,2,101,3,36,12,16,189,0,0,2,0,52,1,6,7,2,70,2.278,0.6859999999999999,1.1523478118157576e-06,0.0017152658662092,0.0603857730359991,0.0005815708301739,26,60.15934,24.86085,Viklakuja,0.3089217889989872,45408.3510123943,1343.2538381056656,3938.131209906391,3416.5745643200266,0.3074971850834477,45942.80122338098,1288.3588308859757,3747.572570629799,3226.7075088904808
1310116,3.806,0.6926,37,2.011,6.082,11.235,9,3,9,4,144,4,62,23,33,291,0,1,2,0,53,2,8,7,2,75,2.331,1.475,1.1523478118157576e-06,0.0017152658662092,0.0603857730359991,0.0005815708301739,26,60.1583,24.86154,Viklakuja,0.30776773522365913,45744.96623869194,1316.6704394358774,3875.966049742748,3382.816000522552,0.30388069342604335,47059.209799781755,1193.6263459017848,3493.856085680659,3044.2189872661825
1310117,3.022,0.8036,30,0.626,5.842,10.999,8,2,6,4,99,2,43,18,29,211,0,1,4,0,59,1,13,5,5,88,2.402,0.6199999999999997,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16207,24.85976,Vaskiniementie,0.3099814926177369,45101.08999858279,1367.761306734329,3995.312511745629,3447.460634382672,0.31275628739103745,44520.432713711314,1388.7789820831451,3924.040620695547,3241.463385300529
1310118,3.74,0.7201,34,1.97,5.864,11.021,9,3,9,4,141,4,60,23,33,286,0,1,4,0,59,1,11,5,3,84,2.401,1.3390000000000004,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16182,24.85971,Vaskiniementie,0.30998043478781023,45101.531516805466,1367.744001734173,3995.2626696006673,3447.4215309665556,0.30442477085878605,46903.534579992076,1205.598039081269,3520.271721626416,3056.368936995736
1310299,4.588,0.8246,50,1.602,5.775,10.932,17,6,22,4,167,12,139,35,103,505,0,1,4,0,66,1,13,7,6,98,2.428,2.16,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16235,24.86092,Katajaharju,0.309831095903619,45162.08782756323,1365.206708195794,3988.13091341108,3442.0100324767695,0.30780982952399266,46071.086797394986,1283.4351200642147,3599.978223312822,3063.105613246494
